Transaction_ID,Date,Season,Region,Hospital_Network,Sales_Rep,Manufacturer,Drug_Category,Drug_Name,Units_Sold,Unit_Price_USD,Discount_Applied_Perc,Gross_Revenue_USD,Net_Revenue_USD,Net_Profit_USD,Profit_Margin_Perc,Order_Priority,Insurance_Coverage_Perc,Approval_Status,Patient_Feedback_Score
TXN_431909,2022-02-05,Winter,Midwest,Tenet Healthcare,Sarah M.,Pfizer,Oncology,Imbruvica,462,1805.15,8.8,833980.16,760234.2,399481.09,52.5,Medium,50,Internal Audit,3.7
TXN_421026,2022-10-07,Autumn,West,Mayo Clinic,Emma B.,Roche,Neurology,Ocrevus,415,4793.41,22.4,1989265.99,1544215.59,913460.39,59.2,Low,100,Internal Audit,4.9
TXN_975264,2022-11-24,Autumn,Midwest,UCLA Medical Center,James T.,Johnson & Johnson,Cardiovascular,Eliquis,247,2889.07,20.2,713600.1,569180.98,177410.57,31.2,Medium,80,Pending Review,3.9
TXN_212847,2023-09-28,Autumn,South,Johns Hopkins Hospital,Michael S.,AbbVie,Respiratory,Symbicort,89,2327.22,17.0,207122.66,171950.08,91498.94,53.2,Critical,100,Pending Review,4.3
TXN_473630,2023-03-11,Spring,Midwest,Mount Sinai,Michael S.,Merck,Cardiovascular,Xarelto,80,2554.65,6.3,204371.67,191422.8,58991.72,30.8,Critical,80,Internal Audit,5.0
TXN_754329,2023-05-24,Spring,Midwest,Stanford Health Care,David L.,Johnson & Johnson,Respiratory,Advair,334,3159.56,13.8,1055293.47,909139.41,378593.67,41.6,Medium,80,Approved,4.7
TXN_520632,2022-02-23,Winter,East,Mass General Brigham,Olivia K.,AbbVie,Immunology,Stelara,247,2920.8,20.9,721438.32,570636.07,321456.1,56.3,Low,80,Internal Audit,4.2
TXN_278075,2024-03-26,Spring,North,Mayo Clinic,James T.,Novartis,Neurology,Tysabri,465,1980.9,24.9,921118.34,691512.59,254020.12,36.7,Medium,50,Internal Audit,4.6
TXN_401337,2022-10-31,Autumn,Midwest,Johns Hopkins Hospital,James T.,AstraZeneca,Oncology,Revlimid,43,4908.12,16.9,211049.13,175426.24,98180.94,56.0,Medium,80,Approved,4.6
TXN_779651,2023-08-17,Summer,Midwest,Kaiser Permanente,David L.,AbbVie,Immunology,Stelara,233,1266.09,18.2,294998.02,241254.57,106205.77,44.0,Low,80,Internal Audit,4.9
TXN_537292,2022-12-20,Winter,North,Kaiser Permanente,Emma B.,AstraZeneca,Cardiovascular,Eliquis,368,2634.92,5.2,969649.85,918989.13,470484.19,51.2,High,80,Approved,4.7
TXN_578528,2024-02-06,Winter,West,Johns Hopkins Hospital,Michael S.,Roche,Immunology,Cosenyx,309,3841.1,22.0,1186898.95,925876.73,413136.21,44.6,Medium,100,Approved,5.0
